分类: 📺央视频道, 名称: CCTV-1, 有效: 6, IPv4: 146, IPv6: 0, 最小延迟: 446 ms, 最高速率: 2.16 M/s, 平均速率: 0.87 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-2, 有效: 6, IPv4: 122, IPv6: 0, 最小延迟: 183 ms, 最高速率: 8.77 M/s, 平均速率: 4.24 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-3, 有效: 6, IPv4: 119, IPv6: 0, 最小延迟: 118 ms, 最高速率: 3.39 M/s, 平均速率: 1.41 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-4, 有效: 6, IPv4: 146, IPv6: 0, 最小延迟: 95 ms, 最高速率: 0.85 M/s, 平均速率: 0.68 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5, 有效: 6, IPv4: 133, IPv6: 0, 最小延迟: 140 ms, 最高速率: 9.61 M/s, 平均速率: 3.68 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5+, 有效: 5, IPv4: 93, IPv6: 0, 最小延迟: 200 ms, 最高速率: 9.66 M/s, 平均速率: 2.62 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-6, 有效: 6, IPv4: 123, IPv6: 0, 最小延迟: 117 ms, 最高速率: 7.31 M/s, 平均速率: 2.91 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-7, 有效: 6, IPv4: 120, IPv6: 0, 最小延迟: 117 ms, 最高速率: 6.43 M/s, 平均速率: 2.75 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-8, 有效: 6, IPv4: 117, IPv6: 0, 最小延迟: 118 ms, 最高速率: 4.40 M/s, 平均速率: 1.87 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-9, 有效: 6, IPv4: 115, IPv6: 0, 最小延迟: 93 ms, 最高速率: 9.77 M/s, 平均速率: 5.70 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-10, 有效: 5, IPv4: 125, IPv6: 0, 最小延迟: 117 ms, 最高速率: 11.17 M/s, 平均速率: 4.36 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-11, 有效: 6, IPv4: 102, IPv6: 0, 最小延迟: 207 ms, 最高速率: 7.67 M/s, 平均速率: 3.25 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-12, 有效: 5, IPv4: 118, IPv6: 0, 最小延迟: 94 ms, 最高速率: 7.85 M/s, 平均速率: 2.24 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-13, 有效: 6, IPv4: 126, IPv6: 0, 最小延迟: 178 ms, 最高速率: 8.77 M/s, 平均速率: 3.36 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-14, 有效: 6, IPv4: 113, IPv6: 0, 最小延迟: 118 ms, 最高速率: 8.74 M/s, 平均速率: 3.93 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-15, 有效: 7, IPv4: 109, IPv6: 0, 最小延迟: 93 ms, 最高速率: 6.73 M/s, 平均速率: 1.79 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-16, 有效: 6, IPv4: 58, IPv6: 0, 最小延迟: 93 ms, 最高速率: 8.77 M/s, 平均速率: 4.49 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-17, 有效: 5, IPv4: 87, IPv6: 0, 最小延迟: 145 ms, 最高速率: 0.92 M/s, 平均速率: 0.78 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CETV-1, 有效: 4, IPv4: 41, IPv6: 0, 最小延迟: 141 ms, 最高速率: 6.74 M/s, 平均速率: 5.12 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CETV-2, 有效: 4, IPv4: 24, IPv6: 0, 最小延迟: 145 ms, 最高速率: 6.74 M/s, 平均速率: 5.02 M/s, 最高分辨率: 1920x1080
